Место,Название,Город/Регион,Сайт,Социальные сети
70,Томский Застройщик,Томская область,https://tomsk-build.ru/,VK
71,Хабаровский Дом,Хабаровский край,https://khv-dom.ru/,VK
72,Владивостокская Строительная Группа,Приморский край,https://vl-build.ru/,VK
73,Архангельский Застройщик,Архангельская область,https://arh-build.ru/,VK
74,Мурманский Дом,Мурманская область,https://murmansk-dom.ru/,VK
75,Калининградская Строительная Компания,Калининградская область,https://kgd-build.ru/,VK
76,Астраханский Застройщик,Астраханская область,https://astrakhan-build.ru/,VK
77,Волгоградский Дом,Волгоградская область,https://volgograd-dom.ru/,VK
78,Саратовская Строительная Группа,Саратовская область,https://saratov-build.ru/,VK
79,Ульяновский Застройщик,Ульяновская область,https://ulyanovsk-build.ru/,VK
80,Пензенский Дом,Пензенская область,https://penza-dom.ru/,VK
81,Тульская Строительная Компания,Тульская область,https://tula-build.ru/,VK
82,Рязанский Застройщик,Рязанская область,https://ryazan-build.ru/,VK
83,Владимирский Дом,Владимирская область,https://vladimir-dom.ru/,VK
84,Ивановская Строительная Группа,Ивановская область,https://ivanovo-build.ru/,VK
85,Костромской Застройщик,Костромская область,https://kostroma-build.ru/,VK
86,Ярославский Дом,Ярославская область,https://yaroslavl-dom.ru/,VK
87,Тверская Строительная Компания,Тверская область,https://tver-build.ru/,VK
88,Смоленский Застройщик,Смоленская область,https://smolensk-build.ru/,VK
89,Калужский Дом,Калужская область,https://kaluga-dom.ru/,VK
90,Брянская Строительная Группа,Брянская область,https://bryansk-build.ru/,VK
91,Орловский Застройщик,Орловская область,https://orel-build.ru/,VK
92,Курский Дом,Курская область,https://kursk-dom.ru/,VK
93,Белгородская Строительная Компания,Белгородская область,https://belgorod-build.ru/,VK
94,Липецкий Застройщик,Липецкая область,https://lipetsk-build.ru/,VK
95,Тамбовский Дом,Тамбовская область,https://tambov-dom.ru/,VK
96,Новгородская Строительная Группа,Новгородская область,https://novgorod-build.ru/,VK
97,Псковский Застройщик,Псковская область,https://pskov-build.ru/,VK
98,Вологодский Дом,Вологодская область,https://vologda-dom.ru/,VK
99,Кировская Строительная Компания,Кировская область,https://kirov-build.ru/,VK
100,Удмуртский Застройщик,Удмуртская Республика,https://udmurt-build.ru/,VK
101,ДомСтрой 1,Московская область,https://домстрой1.ru/,Instagram
102,Жилищный Комплекс 2,Алтайский край,https://жилищныйкомплекс2.ru/,"VK, Telegram"
103,ПремиумСтрой 3,Ростовская область,https://премиумстрой3.ru/,VK
104,ИнвестСтрой 4,Воронежская область,https://инвестстрой4.ru/,VK
105,Региональный Застройщик 5,Челябинская область,https://региональныйзастройщик5.ru/,"VK, OK"
106,ГК СтройМастер 6,Нижегородская область,https://гкстроймастер6.ru/,"VK, OK"
107,Региональный Застройщик 7,Краснодарский край,https://региональныйзастройщик7.ru/,"VK, Instagram"
108,СтройПлюс 8,Алтайский край,https://стройплюс8.ru/,Instagram
109,МегаСтрой 9,Иркутская область,https://мегастрой9.ru/,"VK, OK"
110,ГК СтройТех 10,Тюменская область,https://гкстройтех10.ru/,"VK, Telegram"
111,Жилищный Комплекс 11,г.Москва,https://жилищныйкомплекс11.ru/,VK
112,Жилищная Корпорация 12,Омская область,https://жилищнаякорпорация12.ru/,"VK, Telegram"
113,СтройГрупп 13,Свердловская область,https://стройгрупп13.ru/,"VK, Telegram"
114,Строительная Компания 14,Архангельская область,https://строительнаякомпания14.ru/,"VK, Telegram"
115,ИнвестСтрой 15,Красноярский край,https://инвестстрой15.ru/,"VK, YouTube"
116,МегаСтрой 16,Иркутская область,https://мегастрой16.ru/,Instagram
117,СтройГрупп 17,Хабаровский край,https://стройгрупп17.ru/,"VK, Instagram"
118,Жилищный Комплекс 18,Ростовская область,https://жилищныйкомплекс18.ru/,"VK, OK"
119,СтройИнвест 19,Самарская область,https://стройинвест19.ru/,"VK, Instagram"
120,ДомСтрой 20,Нижегородская область,https://домстрой20.ru/,VK
121,Строительный Холдинг 21,Омская область,https://строительныйхолдинг21.ru/,"VK, Telegram"
122,Жилищная Корпорация 22,Мурманская область,https://жилищнаякорпорация22.ru/,VK
123,СтройИнвест 23,Краснодарский край,https://стройинвест23.ru/,VK
124,Строительный Холдинг 24,Хабаровский край,https://строительныйхолдинг24.ru/,"VK, Telegram"
125,УниверсалСтрой 25,Пермский край,https://универсалстрой25.ru/,"VK, YouTube"
126,Региональный Застройщик 26,Иркутская область,https://региональныйзастройщик26.ru/,VK
127,МодернСтрой 27,Иркутская область,https://модернстрой27.ru/,VK
128,ГК СтройМастер 28,г.Москва,https://гкстроймастер28.ru/,VK
129,ПремиумСтрой 29,Приморский край,https://премиумстрой29.ru/,"VK, Telegram"
130,ИнвестСтрой 30,Мурманская область,https://инвестстрой30.ru/,"VK, Instagram"
131,МодернСтрой 31,Ленинградская область,https://модернстрой31.ru/,Instagram
132,ПремиумСтрой 32,Свердловская область,https://премиумстрой32.ru/,Instagram
133,Региональный Застройщик 33,Московская область,https://региональныйзастройщик33.ru/,VK
134,СтройГрупп 34,Томская область,https://стройгрупп34.ru/,"VK, YouTube"
135,Региональный Застройщик 35,Иркутская область,https://региональныйзастройщик35.ru/,VK
136,МегаСтрой 36,Хабаровский край,https://мегастрой36.ru/,"VK, Telegram"
137,ГК СтройМастер 37,г.Санкт-Петербург,https://гкстроймастер37.ru/,VK
138,СтройИнвест 38,Челябинская область,https://стройинвест38.ru/,"VK, YouTube"
139,МодернСтрой 39,Новосибирская область,https://модернстрой39.ru/,"VK, OK"
140,СтройГрупп 40,Московская область,https://стройгрупп40.ru/,"VK, Telegram"
141,Строительный Холдинг 41,Иркутская область,https://строительныйхолдинг41.ru/,VK
142,ГК СтройТех 42,Ленинградская область,https://гкстройтех42.ru/,Instagram
143,ИнвестСтрой 43,Ростовская область,https://инвестстрой43.ru/,"VK, Telegram"
144,МегаСтрой 44,Тюменская область,https://мегастрой44.ru/,Instagram
145,Строительная Компания 45,Алтайский край,https://строительнаякомпания45.ru/,"VK, Telegram"
146,МегаСтрой 46,Челябинская область,https://мегастрой46.ru/,VK
147,МегаСтрой 47,Свердловская область,https://мегастрой47.ru/,"VK, YouTube"
148,МодернСтрой 48,г.Москва,https://модернстрой48.ru/,"VK, YouTube"
149,Жилищная Корпорация 49,Республика Татарстан,https://жилищнаякорпорация49.ru/,"VK, Telegram"
150,Строительный Альянс 50,г.Санкт-Петербург,https://строительныйальянс50.ru/,"VK, Telegram"
151,Строительный Альянс 51,Свердловская область,https://строительныйальянс51.ru/,Instagram
152,ДомСтрой 52,Воронежская область,https://домстрой52.ru/,"VK, Telegram"
153,Строительная Компания 53,Архангельская область,https://строительнаякомпания53.ru/,"VK, Instagram"
154,СтройГрупп 54,Мурманская область,https://стройгрупп54.ru/,"VK, OK"
155,Строительный Холдинг 55,Алтайский край,https://строительныйхолдинг55.ru/,"VK, OK"
156,МодернСтрой 56,Ленинградская область,https://модернстрой56.ru/,"VK, Instagram"
157,ИнвестСтрой 57,Архангельская область,https://инвестстрой57.ru/,"VK, Telegram"
158,Жилищный Комплекс 58,Мурманская область,https://жилищныйкомплекс58.ru/,"VK, Telegram"
159,СтройИнвест 59,Ростовская область,https://стройинвест59.ru/,VK
160,СтройИнвест 60,Нижегородская область,https://стройинвест60.ru/,"VK, Instagram"
161,НовоСтрой 61,Московская область,https://новострой61.ru/,"VK, YouTube"
162,УниверсалСтрой 62,Кемеровская область,https://универсалстрой62.ru/,"VK, OK"
163,НовоСтрой 63,Иркутская область,https://новострой63.ru/,"VK, OK"
164,Строительный Альянс 64,Томская область,https://строительныйальянс64.ru/,VK
165,НовоСтрой 65,Ленинградская область,https://новострой65.ru/,"VK, YouTube"
166,Жилищная Корпорация 66,Кемеровская область,https://жилищнаякорпорация66.ru/,"VK, OK"
167,Региональный Застройщик 67,Приморский край,https://региональныйзастройщик67.ru/,"VK, YouTube"
168,ГК СтройТех 68,Приморский край,https://гкстройтех68.ru/,"VK, Instagram"
169,МодернСтрой 69,Нижегородская область,https://модернстрой69.ru/,VK
170,ГК Развитие 70,Воронежская область,https://гкразвитие70.ru/,"VK, Telegram"
171,ДомСтрой 71,Свердловская область,https://домстрой71.ru/,"VK, Instagram"
172,Строительная Компания 72,Челябинская область,https://строительнаякомпания72.ru/,"VK, Instagram"
173,ИнвестСтрой 73,Челябинская область,https://инвестстрой73.ru/,"VK, Instagram"
174,Региональный Застройщик 74,Омская область,https://региональныйзастройщик74.ru/,Instagram
175,ГК СтройМастер 75,г.Москва,https://гкстроймастер75.ru/,"VK, YouTube"
176,ГК СтройМастер 76,Ростовская область,https://гкстроймастер76.ru/,"VK, Telegram"
177,ПремиумСтрой 77,Приморский край,https://премиумстрой77.ru/,"VK, Instagram"
178,Строительная Компания 78,Воронежская область,https://строительнаякомпания78.ru/,"VK, Telegram"
179,ГК Развитие 79,Пермский край,https://гкразвитие79.ru/,"VK, OK"
180,ГородСтрой 80,Ростовская область,https://городстрой80.ru/,"VK, Instagram"
181,Региональный Застройщик 81,Ростовская область,https://региональныйзастройщик81.ru/,Instagram
182,Строительный Альянс 82,Воронежская область,https://строительныйальянс82.ru/,"VK, OK"
183,СтройПлюс 83,Нижегородская область,https://стройплюс83.ru/,Instagram
184,Жилищный Комплекс 84,Нижегородская область,https://жилищныйкомплекс84.ru/,"VK, Telegram"
185,ГородСтрой 85,Новосибирская область,https://городстрой85.ru/,VK
186,ГК СтройТех 86,Мурманская область,https://гкстройтех86.ru/,VK
187,ГК СтройТех 87,Республика Татарстан,https://гкстройтех87.ru/,VK
188,МодернСтрой 88,Свердловская область,https://модернстрой88.ru/,"VK, Telegram"
189,ДомСтрой 89,Свердловская область,https://домстрой89.ru/,Instagram
190,Строительный Альянс 90,Нижегородская область,https://строительныйальянс90.ru/,VK
191,МегаСтрой 91,Краснодарский край,https://мегастрой91.ru/,"VK, OK"
192,СтройГрупп 92,Свердловская область,https://стройгрупп92.ru/,Instagram
193,Строительный Холдинг 93,Кемеровская область,https://строительныйхолдинг93.ru/,VK
194,Жилищный Комплекс 94,Красноярский край,https://жилищныйкомплекс94.ru/,VK
195,УниверсалСтрой 95,Ленинградская область,https://универсалстрой95.ru/,"VK, OK"
196,ДомСтрой 96,Томская область,https://домстрой96.ru/,"VK, Telegram"
197,УниверсалСтрой 97,Иркутская область,https://универсалстрой97.ru/,"VK, YouTube"
198,ГК СтройТех 98,Пермский край,https://гкстройтех98.ru/,"VK, YouTube"
199,Жилищный Комплекс 99,Московская область,https://жилищныйкомплекс99.ru/,VK
200,СтройПлюс 100,Красноярский край,https://стройплюс100.ru/,"VK, Instagram"
201,Жилищный Комплекс 101,Ленинградская область,https://жилищныйкомплекс101.ru/,"VK, Telegram"
202,ГК СтройТех 102,Красноярский край,https://гкстройтех102.ru/,VK
203,Региональный Застройщик 103,Кемеровская область,https://региональныйзастройщик103.ru/,VK
204,МегаСтрой 104,Томская область,https://мегастрой104.ru/,VK
205,Региональный Застройщик 105,Кемеровская область,https://региональныйзастройщик105.ru/,"VK, OK"
206,СтройИнвест 106,Иркутская область,https://стройинвест106.ru/,"VK, OK"
207,Строительный Альянс 107,Омская область,https://строительныйальянс107.ru/,Instagram
208,МодернСтрой 108,Челябинская область,https://модернстрой108.ru/,"VK, YouTube"
209,МодернСтрой 109,г.Москва,https://модернстрой109.ru/,"VK, Instagram"
210,ГК СтройМастер 110,Свердловская область,https://гкстроймастер110.ru/,"VK, YouTube"
211,ГК СтройМастер 111,Хабаровский край,https://гкстроймастер111.ru/,Instagram
212,МегаСтрой 112,Челябинская область,https://мегастрой112.ru/,"VK, Telegram"
213,СтройИнвест 113,Челябинская область,https://стройинвест113.ru/,"VK, YouTube"
214,Жилищная Корпорация 114,Челябинская область,https://жилищнаякорпорация114.ru/,Instagram
215,ПремиумСтрой 115,Самарская область,https://премиумстрой115.ru/,VK
216,ГородСтрой 116,Архангельская область,https://городстрой116.ru/,"VK, Telegram"
217,Строительный Холдинг 117,Алтайский край,https://строительныйхолдинг117.ru/,"VK, Instagram"
218,СтройГрупп 118,Архангельская область,https://стройгрупп118.ru/,"VK, OK"
219,Строительная Компания 119,Свердловская область,https://строительнаякомпания119.ru/,"VK, OK"
220,ГК СтройМастер 120,г.Санкт-Петербург,https://гкстроймастер120.ru/,"VK, Instagram"
221,СтройПлюс 121,г.Москва,https://стройплюс121.ru/,Instagram
222,ГК Развитие 122,Кемеровская область,https://гкразвитие122.ru/,Instagram
223,Жилищный Комплекс 123,Кемеровская область,https://жилищныйкомплекс123.ru/,"VK, Telegram"
224,Жилищный Комплекс 124,Иркутская область,https://жилищныйкомплекс124.ru/,VK
225,МегаСтрой 125,Московская область,https://мегастрой125.ru/,VK
226,ПремиумСтрой 126,Челябинская область,https://премиумстрой126.ru/,"VK, OK"
227,ГК СтройТех 127,Мурманская область,https://гкстройтех127.ru/,"VK, YouTube"
228,ИнвестСтрой 128,Ростовская область,https://инвестстрой128.ru/,Instagram
229,Жилищная Корпорация 129,Московская область,https://жилищнаякорпорация129.ru/,"VK, OK"
230,Строительный Альянс 130,г.Москва,https://строительныйальянс130.ru/,VK
231,СтройПлюс 131,Томская область,https://стройплюс131.ru/,"VK, Telegram"
232,НовоСтрой 132,Кемеровская область,https://новострой132.ru/,VK
233,ГК СтройМастер 133,Хабаровский край,https://гкстроймастер133.ru/,"VK, OK"
234,МодернСтрой 134,Новосибирская область,https://модернстрой134.ru/,"VK, Telegram"
235,СтройИнвест 135,Алтайский край,https://стройинвест135.ru/,"VK, Instagram"
236,Строительная Компания 136,Московская область,https://строительнаякомпания136.ru/,"VK, Instagram"
237,СтройГрупп 137,Свердловская область,https://стройгрупп137.ru/,"VK, Instagram"
238,Жилищный Комплекс 138,Ленинградская область,https://жилищныйкомплекс138.ru/,"VK, YouTube"
239,Жилищный Комплекс 139,Иркутская область,https://жилищныйкомплекс139.ru/,"VK, Telegram"
240,НовоСтрой 140,Томская область,https://новострой140.ru/,Instagram
241,Строительный Альянс 141,Иркутская область,https://строительныйальянс141.ru/,"VK, Instagram"
242,Региональный Застройщик 142,Воронежская область,https://региональныйзастройщик142.ru/,VK
243,МодернСтрой 143,Самарская область,https://модернстрой143.ru/,Instagram
244,ГК СтройМастер 144,Новосибирская область,https://гкстроймастер144.ru/,"VK, Instagram"
245,МегаСтрой 145,Кемеровская область,https://мегастрой145.ru/,Instagram
246,СтройПлюс 146,Самарская область,https://стройплюс146.ru/,"VK, Instagram"
247,Строительный Холдинг 147,Воронежская область,https://строительныйхолдинг147.ru/,Instagram
248,ДомСтрой 148,Московская область,https://домстрой148.ru/,"VK, OK"
249,НовоСтрой 149,Краснодарский край,https://новострой149.ru/,"VK, YouTube"
250,ГК Развитие 150,Томская область,https://гкразвитие150.ru/,Instagram
